Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Adresse (numéro);Adresse (voie);Commune (code INSEE);Commune (nom);Coordonnées;Station de métro en correspondance (ID);Emplacements;Station la plus proche 1 (ID);Station la plus proche 2 (ID);Station la plus proche 3 (ID);Avec terminal CB
5501;2019-07-15;;Oui;5501;République;19;Quai Lamartine;35238;Rennes;48.110026, -1.678037;15006;45;5502;5510;5509;true
5502;2022-09-20;;Oui;5502;Mairie - Opéra;11;galeries du Théâtre;35238;Rennes;48.111624, -1.678757;15006;24;5501;5505;5509;true
5504;2018-07-28;;Oui;5504;Place Hoche;12;Place Hoche;35238;Rennes;48.115074, -1.677073;;39;5505;5506;5509;true
5505;2021-09-03;;Oui;5505;Sainte-Anne;16;Place Sainte-Anne;35238;Rennes;48.11421, -1.680461;15005;23;5504;5502;5526;true
5519;2022-09-20;;Oui;5519;Colombier;6;rue de Plélo;35238;Rennes;48.106103, -1.680594;15060;24;5517;5543;5523;true
5528;2018-07-24;;Oui;5528;Chèques Postaux;66;Mail François Mitterrand;35238;Rennes;48.108765, -1.693432;;30;5527;5534;5531;true
5533;2018-08-29;;Oui;5533;Anatole France;3;Avenue du 41ème Régiment d'Infanterie;35238;Rennes;48.11817, -1.688466;15004;28;5539;5537;5526;true
5536;2018-08-13;;Oui;5536;Paul Bert;9;Avenue Aristide Briand;35238;Rennes;48.110115, -1.670039;;16;5510;5512;5509;true
5539;2022-09-20;;Oui;5539;Pontchaillou;49;rue Antoine Joly;35238;Rennes;48.121481, -1.692737;15003;28;5533;5555;5537;true
5542;2018-08-01;;Oui;5542;Robidou;124;Avenue Sergent Maginot;35238;Rennes;48.109926, -1.659499;;20;5587;5535;5522;true
5571;2018-08-01;;Oui;5571;Sainte-Thérèse;76;Boulevard Emile Combes;35238;Rennes;48.094986, -1.663731;;12;5567;5562;5561;true
5587;2018-09-01;;Oui;5587;Pont de Strasbourg;92;rue Alphonse Guérin;35238;Rennes;48.109859, -1.656028;;20;5542;5522;5535;true
5590;2021-04-07;;Oui;5590;Bourgeois;2;boulevard Léon Bourgeois;35238;Rennes;48.098086, -1.655278;;24;5571;5540;5567;true
5592;2022-03-14;;Oui;5592;Gares;6;place de la Gare;35238;Rennes;48.10432, -1.673312;15008;50;5516;5515;5588;true
5516;2018-08-03;;Oui;5516;Champs Libres;7;Cours des Alliés;35238;Rennes;48.105537, -1.674328;;24;5584;5517;5512;true
5517;2018-08-01;;Oui;5517;Charles de Gaulle;2;Cours des Alliés;35238;Rennes;48.105111, -1.677119;15007;24;5516;5584;5519;true
5520;2018-08-01;;Oui;5520;Pont de Nantes;32;Rue du Docteur Francis Joly;35238;Rennes;48.102015, -1.684015;;20;5543;5519;5523;true
5523;2018-07-21;;Oui;5523;La Rotonde;2;Rue de Redon;35238;Rennes;48.106653, -1.68677;;20;5543;5519;5528;true
5538;2018-08-01;;Oui;5538;Marbeuf;37;Rue Louis Guilloux;35238;Rennes;48.111749, -1.702077;;20;5556;5534;5528;true
5548;2022-09-20;;Oui;5548;Beaulieu - Université;39;avenue Professeur Charles Foulon;35238;Rennes;48.121906, -1.639783;15052;30;5547;5581;5546;true
5561;2018-07-30;;Oui;5561;Jacques Cartier;155;Boulevard Jacques Cartier;35238;Rennes;48.097505, -1.674834;15009;24;5562;5588;5515;true
5567;2018-08-01;;Oui;5567;Binquenais;24;Rue André Rouault;35238;Rennes;48.091594, -1.667321;;16;5571;5562;5561;true
5579;2021-06-28;;Oui;5579;Les Gayeulles;23;rue Guy Ropartz;35238;Rennes;48.129464, -1.657272;15054;30;5580;5578;5581;true
5581;2021-01-19;;Oui;5581;Joliot-Curie - Chateaubriand;132;boulevard de Vitré;35238;Rennes;48.124389, -1.651203;;30;5580;5548;5578;true
5526;2018-08-10;;Oui;5526;Les Lices;9;Rue de Juillet;35238;Rennes;48.112766, -1.685037;;25;5524;5527;5505;true
5534;2022-09-20;;Oui;5534;Brest Verdun;2;boulevard de Verdun;35238;Rennes;48.113009, -1.693264;;24;5527;5528;5526;true
5543;2018-08-01;;Oui;5543;Cité Judiciaire;20;Rue du Papier Timbré;35238;Rennes;48.104771, -1.68411;;24;5523;5520;5519;true
5555;2018-08-01;;Oui;5555;Préfecture;1;Avenue de Cucillé;35238;Rennes;48.128453, -1.694032;;27;5560;5539;5552;true
5566;2021-06-07;;Oui;5566;Bréquigny Piscine;10;boulevard Albert 1er;35238;Rennes;48.089978, -1.690244;;24;5569;5585;5562;true
5569;2018-08-01;;Oui;5569;Champs Manceaux;14;Rue Louis et René Moine;35238;Rennes;48.091114, -1.682284;;18;5562;5561;5567;true
5591;2021-02-17;;Oui;5591;Mabilais;58;rue de Redon;35238;Rennes;48.105086, -1.693069;15061;30;5528;5523;5543;false
5510;2018-08-01;;Oui;5510;Musée Beaux-Arts;3;Avenue Jean Janvier;35238;Rennes;48.109601, -1.67408;;16;5512;5501;5536;true
5522;2018-07-31;;Oui;5522;Oberthur;4;Rue Gutenberg;35238;Rennes;48.11355, -1.661853;;30;5544;5535;5542;true
5524;2018-08-10;;Oui;5524;Place de Bretagne;3;Place de Bretagne;35238;Rennes;48.1097, -1.684041;;39;5526;5523;5527;true
5535;2018-08-01;;Oui;5535;Pont de Châteaudun;65;Avenue Aristide Briand;35238;Rennes;48.110264, -1.664443;;20;5542;5514;5522;true
5546;2018-08-01;;Oui;5546;Plaine de Baud;;Avenue François Château;35238;Rennes;48.112461, -1.643674;;24;5547;5587;5548;true
5547;2018-08-01;;Oui;5547;Beaulieu Chimie;;Allée de Beaulieu;35238;Rennes;48.116458, -1.633875;;30;5548;5546;5581;true
5578;2021-06-04;;Oui;5578;Gros-Chêne;;boulevard Emmanuel Mounier;35238;Rennes;48.125408, -1.664806;15055;18;5580;5507;5586;true
5580;2020-12-29;;Oui;5580;Painlevé;;;35238;Rennes;48.123506, -1.659762;;29;5578;5581;5544;true
5585;2018-07-21;;Oui;5585;La Courrouze;;Rue Claude Bernard;35238;Rennes;48.099043, -1.694512;;20;5531;5520;5543;true
5586;2018-08-01;;Oui;5586;Armorique;;Rue de la Taurellerie;35238;Rennes;48.129949, -1.676161;;24;5578;5537;5555;true
5588;2022-09-20;;Oui;5588;Gare Sud Féval;9 C;rue de Châtillon;35238;Rennes;48.102055, -1.673959;15008;24;5592;5516;5517;true
5589;2020-10-19;;Oui;5589;Baud Chardonnet;2;rue Georges Charpak;35238;Rennes;48.10995, -1.647933;;24;5546;5587;5542;true
5506;2018-08-01;;Oui;5506;Hôtel Dieu;2;Rue de la Cochardière;35238;Rennes;48.117596, -1.677849;;26;5504;5505;5537;true
5507;2022-09-20;;Oui;5507;Jules Ferry;75;rue Jean Guéhenno;35238;Rennes;48.118172, -1.670735;15056;31;5506;5504;5509;true
5509;2022-09-20;;Oui;5509;Saint-Georges Piscine;21;rue Victor Hugo;35238;Rennes;48.112385, -1.674417;;18;5510;5502;5504;true
5512;2018-08-01;;Oui;5512;TNB;1;Square de Kergus;35238;Rennes;48.107748, -1.673711;;28;5510;5516;5536;true
5514;2022-09-20;;Oui;5514;Bonnets Rouges;11;boulevard René Laënnec;35238;Rennes;48.106846, -1.665814;;24;5535;5536;5540;true
5527;2018-08-29;;Oui;5527;Horizons;6;Rue de Brest;35238;Rennes;48.111564, -1.689656;;24;5534;5526;5528;true
5537;2018-07-27;;Oui;5537;Auberge de Jeunesse;83;Rue de Saint-Malo;35238;Rennes;48.120876, -1.681876;;29;5506;5533;5504;true
5540;2022-09-20;;Oui;5540;Croix Saint-Hélier;13;mail Louise Bourgeois;35238;Rennes;48.10305, -1.66209;;20;5514;5590;5542;true
5544;2018-08-01;;Oui;5544;Metz - Sévigné;28;Boulevard de Metz;35238;Rennes;48.115993, -1.658258;;16;5522;5542;5587;true
5552;2018-08-01;;Oui;5552;Villejean-Université;;Place Recteur Henri Le Moal;35238;Rennes;48.121074, -1.70428;15002;26;5556;5539;5560;true
5556;2018-08-01;;Oui;5556;Berger;1;Avenue Gaston Berger;35238;Rennes;48.116314, -1.705097;;14;5552;5538;5534;true
5560;2022-09-20;;Oui;5560;Cucillé - Frac;12 bis;avenue de Cucillé;35238;Rennes;48.128788, -1.698129;;25;5555;5539;5552;true
5562;2018-08-01;;Oui;5562;Clemenceau;1;Avenue Henri Fréville;35238;Rennes;48.093292, -1.674116;15010;22;5561;5567;5569;true
5582;2022-07-11;;Oui;5582;La Poterie;211;rue de Vern;35238;Rennes;48.087309, -1.643683;15015;20;5590;5571;5567;true
